City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
92,hay river,60.8156,-115.7999,-10.01,79,100,4.63,CA,2023-04-01 15:45:18
93,grajau,-5.8194,-46.1386,29.24,67,100,0.98,BR,2023-04-01 15:45:38
94,pachino,36.7186,15.0907,17.07,74,100,7.33,IT,2023-04-01 15:48:24
95,dawlatabad,36.4141,64.9053,22.48,40,76,6.96,AF,2023-04-01 15:48:24
96,dikson,73.5069,80.5464,-8.71,90,100,8.37,RU,2023-04-01 15:48:24
97,puri,19.8,85.85,24.29,78,72,8.49,IN,2023-04-01 15:48:24
98,kaitangata,-46.2817,169.8464,11.24,90,99,2.63,NZ,2023-04-01 15:48:24
99,tallinn,59.437,24.7535,4.06,56,0,4.63,EE,2023-04-01 15:48:25
100,hobyo,5.3505,48.5268,28.93,75,79,5.88,SO,2023-04-01 15:48:25
101,lazaro cardenas,17.9583,-102.2,28.88,46,0,1.03,MX,2023-04-01 15:48:25
102,saskylakh,71.9167,114.0833,-11.03,90,100,7.65,RU,2023-04-01 15:48:25
103,kirakira,-10.4544,161.9205,26.01,84,100,1.81,SB,2023-04-01 15:48:26
104,miquelon,47.0975,-56.3814,5.0,83,84,5.98,PM,2023-04-01 15:48:23
105,hamilton,39.1834,-84.5333,16.97,57,6,6.26,US,2023-04-01 15:45:19
106,port blair,11.6667,92.75,28.02,74,40,2.06,IN,2023-04-01 15:48:26
107,puerto ayora,-0.7393,-90.3518,29.98,88,60,2.68,EC,2023-04-01 15:47:39
108,puerto baquerizo moreno,-0.9,-89.6,29.55,70,20,4.12,EC,2023-04-01 15:48:27
109,barrow,71.2906,-156.7887,-16.99,100,100,2.57,US,2023-04-01 15:48:27
110,lerwick,60.1545,-1.1494,8.0,72,99,4.95,GB,2023-04-01 15:48:27
111,tretten,61.3142,10.3007,2.16,74,7,0.29,NO,2023-04-01 15:48:27
112,iqaluit,63.7506,-68.5145,-12.15,79,100,4.12,CA,2023-04-01 15:48:28
113,soria,41.6667,-2.6667,9.07,59,98,8.86,ES,2023-04-01 15:48:28
114,diego de almagro,-26.3667,-70.05,26.58,34,3,3.95,CL,2023-04-01 15:43:35
115,hobart,-42.8794,147.3294,11.92,80,99,5.66,AU,2023-04-01 15:48:28
116,evans,33.5337,-82.1307,23.06,75,75,7.72,US,2023-04-01 15:48:28
117,tomatlan,19.9333,-105.25,29.46,25,96,2.03,MX,2023-04-01 15:48:29
118,hilo,19.7297,-155.09,25.16,91,100,2.06,US,2023-04-01 15:48:29
119,tecoanapa,16.5167,-98.75,29.4,47,73,2.09,MX,2023-04-01 15:48:29
120,narsaq,60.9167,-46.05,-0.88,59,92,0.99,GL,2023-04-01 15:48:29
121,ixtapa,20.7,-105.2,20.57,52,75,3.09,MX,2023-04-01 15:48:30
122,asfi,32.2994,-9.2372,21.75,61,27,11.96,MA,2023-04-01 15:48:30
123,coari,-4.085,-63.1414,27.55,84,97,1.01,BR,2023-04-01 15:48:30
124,shiyan,32.6475,110.7781,18.31,66,43,2.94,CN,2023-04-01 15:48:30
125,port alfred,-33.5906,26.891,21.77,80,1,1.34,ZA,2023-04-01 15:48:31
126,sabang,5.8933,95.3214,28.56,68,84,1.13,ID,2023-04-01 15:48:31
127,karratha,-20.7377,116.8463,28.3,69,28,2.2,AU,2023-04-01 15:48:31
128,belmonte,-15.8631,-38.8828,29.69,61,13,4.65,BR,2023-04-01 15:48:32
129,havoysund,70.9963,24.6622,-0.87,66,100,9.69,NO,2023-04-01 15:48:32
130,parrita,9.5201,-84.3225,31.13,45,14,2.4,CR,2023-04-01 15:48:32
131,alta floresta,-9.8756,-56.0861,29.9,74,75,1.03,BR,2023-04-01 15:48:32
132,fengxian,34.7039,116.5872,11.37,69,0,4.15,CN,2023-04-01 15:48:32
133,namatanai,-3.6667,152.4333,24.17,91,100,0.61,PG,2023-04-01 15:48:33
134,sioux lookout,50.1001,-91.917,-5.96,38,20,1.54,CA,2023-04-01 15:48:33
135,astana,51.1801,71.446,-2.03,59,0,5.0,KZ,2023-04-01 15:48:33
136,linxia,35.6003,103.2064,11.86,43,96,5.77,CN,2023-04-01 15:48:33
